Facility,Survey Item,Response,Auditor-assigned Category,Re-assigned response?,Translated?,Original Language,space_size,maintenance,parking_availability,parking_cost,parking_safety,parking_external_pressure,hours,accessibility_location,equity_comparison,general_satisfaction,non_substantive,programming_content,booking_policy,any_code
George Washington Carver Museum,Please let us know if you have any additional feedback about the Carver Museum's facilities.,"1.) This is a vital space for a community that has been displaced and replaced. It seems as a matter of equity to over compensate this space for thag
2.) This is the only cultural center that has been grossly under funded and underkept. Staff does the best they can with so little.",Negative,False,False,English,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,The quality of the events is great but the center is not well equipped for a theater experience.,Negative,True,True,Spanish,True,False,False,False,False,False,False,False,False,True,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"Unfortunately, a lot of the parking spaces near this center are of paid parking, unlike other culture centers.",Negative,False,False,English,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,It is hard to get to the MACC from downtown.,Negative,True,False,English,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I already gave my input on this. A great place.,Positive,False,False,English,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"We use the services they offer in the Sanchez school, we can park in that area and the bus pick us up right there because there are many businesses near the ESM-MACC and it is a good option.",Positive,False,True,Spanish,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,rooms should accommodate small to medium size groups,Negative,False,False,English,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"The MACC needs specific space for performances like theater, dance, etc.",Suggestion,False,True,Spanish,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"A well planned, designed, executed and operated facility.",Positive,False,False,English,False,False,False,False,False,False,False,False,False,True,False,False,False,True
African American Cultural and Heritage Facility,Please let us know if you have any additional feedback about the AACHF's facilities.,The facility needs to be updated and a deep clean. Great location and I see a wonderful opportunity here for people to gather and learn.,Negative,False,False,English,False,True,False,False,False,False,False,False,False,True,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Facility is small and a bit hard to access. Must really want to go there. It appears that it is a bit discriminatory by its lack access.,Negative,False,False,English,True,False,False,False,False,False,False,True,True,False,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"The MACC needs a larger auditorium. The last event my organization held there was standing room only and it included several older folks with walkers/wheelchairs. There needs to be a large auditorium that seats 250+ people. My organization is having to find alternatives because the MACC can't accommodate us. And while the risers are great for some events/participants, they don't work so well for older folks who can't navigate stairs.",Negative,False,False,English,True,False,False,False,False,False,False,True,False,False,False,False,False,True
George Washington Carver Museum,Please let us know if you have any additional feedback about the Carver Museum's facilities.,Just dirty on stage and audience seats area.  not tuned piano provided (the pianist had to pay by her own account.),Negative,False,False,English,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,I cannot give my feedback on maintenance or meeting needs cause I’ve never rented the space.,,False,False,English,False,False,False,False,False,False,False,False,False,False,True,False,False,True
George Washington Carver Museum,Please let us know if you have any additional feedback about the Carver Museum's facilities.,"I think the Carver would benefit from a one-level, multi-use room for holding small conferences and community meetings.  The auditorium in fine but dangerous for use by elderly citizens.",Suggestion,False,False,English,True,False,False,False,False,False,False,True,False,False,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,Public parking fees are to high,Negative,True,False,English,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"Great facilities, very open to the public and very welcoming.",Positive,False,False,English,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Emma S. Barrientos Mexican American Cultural Center,Please let us know if you have any additional feedback about the ESB-MACC's facilities.,"I think the MACC is such an important center for Austin, not only for Mexican Americans but for everyone to learn more about Latino culture.",Positive,False,False,English,False,False,False,False,False,False,False,False,False,True,False,False,False,True
George Washington Carver Museum,Please let us know if you have any additional feedback about the Carver Museum's facilities.,Sometimes parking is issue because of many attendees.,Negative,False,False,English,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,AARC space needs to be flexible for more various program to be planned.p,Suggestion,True,False,English,True,False,False,False,False,False,False,False,False,False,False,False,False,True
